id;status;tanggal;jam
497;Check In;15/07/2019;6:44:59
4750;Check In;15/07/2019;6:48:08
4748;Check In;15/07/2019;6:49:09
4752;Check In;15/07/2019;6:51:42
496;Check In;15/07/2019;6:52:10
484;Check In;15/07/2019;6:53:30
482;Check In;15/07/2019;6:54:16
494;Check In;15/07/2019;6:55:21
487;Check In;15/07/2019;6:55:31
493;Check In;15/07/2019;7:01:16
462;Check In;15/07/2019;7:02:59
480;Check In;15/07/2019;7:03:17
463;Check In;15/07/2019;7:03:42
472;Check In;15/07/2019;7:04:08
474;Check In;15/07/2019;7:27:33
482;Check In;15/07/2019;15:30:29
134;Check In;15/07/2019;15:31:45
496;Check In;15/07/2019;15:32:43
492;Check In;15/07/2019;15:35:23
484;Check In;15/07/2019;15:35:46
463;Check In;15/07/2019;15:36:55
487;Check In;15/07/2019;15:37:29
476;Check In;15/07/2019;15:37:53
469;Check In;15/07/2019;15:38:33
494;Check In;15/07/2019;15:40:17
4750;Check In;15/07/2019;15:40:31
473;Check In;15/07/2019;15:43:18
489;Check In;15/07/2019;15:44:06
497;Check In;15/07/2019;15:46:19
4748;Check In;15/07/2019;15:55:22
464;Check In;15/07/2019;16:00:09
4752;Check In;15/07/2019;16:08:51
493;Check In;15/07/2019;16:18:32
480;Check In;15/07/2019;16:51:43
472;Check In;15/07/2019;17:07:55
496;Check In;16/07/2019;6:47:48
483;Check In;16/07/2019;6:50:02
494;Check In;16/07/2019;6:51:09
462;Check In;16/07/2019;6:51:53
484;Check In;16/07/2019;6:53:27
476;Check In;16/07/2019;6:55:56
482;Check In;16/07/2019;6:57:14
490;Check In;16/07/2019;6:57:54
480;Check In;16/07/2019;7:02:02
472;Check In;16/07/2019;7:02:27
4752;Check In;16/07/2019;7:03:51
4748;Check In;16/07/2019;7:03:57
463;Check In;16/07/2019;7:04:48
489;Check In;16/07/2019;7:05:35
474;Check In;16/07/2019;7:06:54
464;Check In;16/07/2019;7:07:33
482;Check In;16/07/2019;15:30:20
484;Check In;16/07/2019;15:30:36
472;Check In;16/07/2019;15:32:08
494;Check In;16/07/2019;15:33:40
492;Check In;16/07/2019;15:34:31
496;Check In;16/07/2019;15:35:48
471;Check In;16/07/2019;15:36:26
4748;Check In;16/07/2019;15:38:20
476;Check In;16/07/2019;15:38:42
463;Check In;16/07/2019;15:39:30
469;Check In;16/07/2019;15:46:08
462;Check In;16/07/2019;15:57:41
488;Check In;16/07/2019;15:58:11
4752;Check In;16/07/2019;15:58:55
461;Check In;16/07/2019;16:10:19
464;Check In;16/07/2019;16:13:01
475;Check In;16/07/2019;16:43:47
480;Check In;16/07/2019;16:52:14
489;Check In;16/07/2019;18:49:20
4750;Check In;17/07/2019;6:50:40
484;Check In;17/07/2019;6:52:22
494;Check In;17/07/2019;6:53:40
496;Check In;17/07/2019;6:56:08
485;Check In;17/07/2019;6:57:48
4752;Check In;17/07/2019;6:58:38
4748;Check In;17/07/2019;6:59:08
479;Check In;17/07/2019;6:59:41
487;Check In;17/07/2019;7:08:14
464;Check In;17/07/2019;7:10:29
474;Check In;17/07/2019;7:24:30
484;Check In;17/07/2019;15:31:34
4750;Check In;17/07/2019;15:33:32
4752;Check In;17/07/2019;15:33:54
474;Check In;17/07/2019;15:34:15
494;Check In;17/07/2019;15:35:22
496;Check In;17/07/2019;15:37:51
487;Check In;17/07/2019;15:39:56
469;Check In;17/07/2019;15:42:26
479;Check In;17/07/2019;15:42:46
483;Check In;17/07/2019;15:43:15
490;Check In;17/07/2019;15:45:03
497;Check In;17/07/2019;15:47:03
4748;Check In;17/07/2019;15:50:46
464;Check In;17/07/2019;15:57:32
477;Check In;17/07/2019;16:04:15
462;Check In;17/07/2019;16:09:23
475;Check In;17/07/2019;16:15:27
134;Check In;17/07/2019;16:20:07
493;Check In;17/07/2019;16:21:02
480;Check In;17/07/2019;16:39:31
